CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;LOC2011;CODLOC;LOCALITA;TIPOLOC;AMPLOC;CAPOLUOGO;ALTITUDINE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;1;Allein;7001;700110001;10001;Le Plan-de-Clavel;1;13;1;1190;72;37;35;36;30;2;3;1;21;15;0;0;1;6;5;4;2;1;6;5;10;3;5;2;6;4;5;2;6;5;1;1;1;1;2;4;5;1;3;2;1;2;3;1;4;64;7;19;16;17;5;0;32;2;12;8;7;3;0;33;32;1;18;17;1;24;12;5;2;1;0;0;9;33;17;11;7;5;6;1;0;4;1;0;2;5;0;0;0;0;7;31;18;0;18;0;2503;2;23;6;31;72;9;11;4;6;1;0;0;59;32;29;3;21;8;0;2;2;1;3;3;6;9;2;1;0;6;18;5;16;6;7;0;0;0;50;18;9;1;1
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;1;Allein;7001;700120002;20002;Ayez;2;13;0;1110;41;21;20;16;20;1;3;1;9;10;0;1;1;5;2;1;1;0;2;3;3;4;4;1;2;4;3;4;2;1;1;1;1;0;1;1;2;2;2;1;1;2;2;3;0;34;4;11;10;9;0;0;19;2;6;6;5;0;0;18;18;0;11;11;0;15;7;1;1;1;0;0;2;23;13;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;12;0;12;0;1473;2;12;4;18;41;5;7;2;4;0;0;0;21;17;16;1;11;4;1;1;0;0;1;4;2;6;1;1;0;2;12;2;6;7;3;0;0;0;30;13;2;1;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;1;Allein;7001;700120003;20003;La Ville;2;13;0;1426;58;26;32;20;25;1;12;0;13;12;1;0;0;3;3;1;1;1;4;5;1;2;4;4;3;0;2;7;17;2;2;0;1;1;2;4;0;0;2;3;1;0;1;3;4;54;2;7;13;28;3;1;24;0;6;7;9;2;0;20;20;0;12;12;0;31;10;1;2;2;5;0;7;16;23;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;21;0;21;0;2414;0;29;2;31;58;15;10;2;3;1;0;0;70;42;39;3;36;1;2;5;4;2;4;10;5;8;1;0;0;5;33;1;27;10;2;0;0;0;53;20;18;1;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;1;Allein;7001;700120004;20004;Daillon;2;13;0;1413;24;16;8;12;8;0;4;0;11;4;0;1;0;0;0;1;1;0;0;0;0;1;4;2;3;3;1;1;7;0;0;1;0;0;0;0;0;1;3;2;2;3;0;0;4;24;1;2;9;12;0;0;16;1;2;6;7;0;0;7;7;0;6;6;0;16;9;2;1;0;0;0;0;8;13;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;5;0;5;0;1019;2;11;2;15;24;9;4;1;1;0;0;0;34;16;14;2;13;1;0;3;0;0;0;0;2;6;2;1;0;1;12;1;8;6;0;0;0;0;20;10;1;2;1
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;1;Allein;7001;700120005;20005;Chanté;2;13;0;1428;7;3;4;4;0;1;1;1;2;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;6;0;1;1;3;1;0;3;0;0;1;2;0;0;1;1;0;1;1;0;4;2;0;0;0;1;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;6;0;258;1;4;0;5;7;4;0;1;0;0;0;0;17;8;8;0;8;0;0;2;0;0;0;2;1;2;0;1;0;3;4;1;7;0;1;0;0;0;11;4;3;1;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;1;Allein;7001;700126601;26601;L'Allamanaz;2;13;0;1170;14;6;8;4;4;2;4;0;2;2;1;1;0;0;0;1;2;1;0;0;1;0;4;0;1;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;1;0;0;1;0;14;0;2;7;5;0;0;6;0;0;4;2;0;0;5;5;0;2;2;0;8;4;1;1;1;1;1;1;6;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;1;0;727;0;6;2;8;14;6;0;0;2;0;0;0;12;9;8;1;7;1;0;0;0;0;1;1;2;2;0;2;0;3;4;1;7;1;0;0;0;0;9;6;2;0;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;1;Allein;7001;700140000;40000;Case sparse;4;13;0;-;32;15;17;15;10;0;3;4;8;5;0;0;2;2;1;0;1;1;1;2;6;3;0;4;1;1;2;1;6;1;0;0;0;1;0;1;3;2;0;3;1;0;0;1;2;30;2;10;10;7;1;0;14;1;4;5;4;0;0;19;16;3;10;8;2;10;4;0;1;0;1;0;2;15;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;21;0;21;0;1677;6;12;4;22;32;15;5;1;1;0;0;0;24;24;24;0;18;3;3;2;1;0;0;3;7;6;3;2;0;9;14;1;13;8;1;2;0;0;43;16;5;3;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;2;Antey-Saint-André;7002;700210001;10001;Antey-Saint-Andrè;1;12;1;1074;247;125;122;100;111;5;27;4;57;58;2;7;1;9;13;15;7;7;13;18;12;29;20;18;11;17;11;14;33;4;8;7;5;4;6;9;7;13;14;7;6;7;6;7;15;232;21;76;78;45;11;1;117;9;39;44;19;6;0;118;112;6;62;58;4;92;44;13;8;5;14;8;73;60;57;30;19;9;12;7;0;5;4;0;16;3;0;0;0;0;19;126;813;0;813;0;9953;19;86;24;129;247;64;28;23;12;2;0;0;268;246;222;24;150;68;4;7;5;22;55;68;24;18;14;9;12;98;86;26;60;37;51;50;17;7;979;5;189;27;1
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;2;Antey-Saint-André;7002;700210002;10002;Buisson;1;13;0;1108;73;34;39;31;29;4;5;4;15;16;0;3;0;5;2;5;2;3;5;4;9;10;2;4;2;6;4;6;4;0;1;3;1;1;3;2;3;6;0;2;1;1;3;3;4;67;6;18;25;12;6;0;33;1;8;13;8;3;0;40;35;5;20;19;1;21;10;5;3;1;3;2;18;23;10;7;4;1;1;3;0;0;1;0;1;3;0;0;0;0;4;35;143;0;143;0;2400;6;25;5;36;73;17;7;8;2;2;0;0;90;78;63;15;50;7;6;0;0;5;6;23;14;10;2;3;0;28;30;5;25;13;16;6;2;1;178;4;49;10;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;2;Antey-Saint-André;7002;700220001;20001;Cerian-Epaillon;2;13;0;1019;51;22;29;23;19;2;6;1;11;9;1;1;0;3;1;4;2;2;3;4;1;9;6;3;4;1;2;2;4;1;0;1;2;0;1;3;0;6;1;1;2;1;1;1;1;48;3;16;17;9;3;0;21;1;7;10;3;0;0;27;26;1;14;14;0;16;6;3;4;2;2;2;15;16;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;74;0;74;0;1721;1;17;6;24;51;8;8;5;3;0;0;0;66;53;52;1;41;11;0;0;1;4;13;13;7;9;4;1;1;26;24;1;29;10;11;2;0;0;98;0;44;8;0
